start,end,amount
2024-04-15,2024-04-22,53.18
2024-04-22,2024-04-29,135.80
2024-04-29,2024-05-06,332.33
2024-05-06,2024-05-13,231.93
2024-05-13,2024-05-20,553.68
2024-05-20,2024-05-27,116.97
2024-05-27,2024-06-03,611.69
2024-06-03,2024-06-10,226.88
2024-06-10,2024-06-17,466.20
2024-06-17,2024-06-24,185.94
2024-06-24,2024-07-01,428.33
2024-07-01,2024-07-08,211.62
2024-07-08,2024-07-15,531.44
2024-07-15,2024-07-22,56.73
2024-07-22,2024-07-29,253.54
2024-07-29,2024-08-05,136
2024-08-05,2024-08-12,152.59
2024-08-12,2024-08-19,64.24
2024-08-19,2024-08-26,131.29
2024-08-26,2024-09-02,151.51
2024-09-02,2024-09-09,167.44
2024-09-09,2024-09-16,157.39
2024-09-16,2024-09-23,335.83
2024-09-23,2024-09-30,79.04
2024-09-30,2024-10-07,136.17
2024-10-07,2024-10-14,0
2024-10-14,2024-10-21,0
2024-10-21,2024-10-28,0
2024-10-28,2024-11-04,0
2024-11-04,2024-11-11,52.93
2024-11-11,2024-11-18,137.87
2024-11-18,2024-11-25,112.58
2024-11-25,2024-12-02,253
2024-12-02,2024-12-09,146
2024-12-09,2024-12-16,261.12
2024-12-16,2024-12-23,48.09
2024-12-23,2024-12-30,94.28
2024-12-30,2025-01-06,18.88
2025-01-06,2025-01-13,36.41
2025-01-13,2025-01-20,39.14
2025-01-20,2025-01-27,27.13
2025-01-27,2025-02-03,0
2025-02-03,2025-02-10,8.77
2025-02-10,2025-02-17,0
2025-02-17,2025-02-24,0
2025-02-24,2025-03-03,102.46
2025-03-03,2025-03-10,67.01
2025-03-10,2025-03-17,50.09
2025-03-17,2025-03-24,80.39
2025-03-24,2025-03-31,44.99
2025-03-31,2025-04-07,139.47
2025-04-07,2025-04-14,28.53
2025-04-14,2025-04-21,217.77
